"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2173","Ввод email и переход к форме восстановления пароля","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","4230","Созданный заказ отображается в истории заказов","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","4046","Ввод email и переход к форме восстановления пароля","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","983","Переход на страницу восстановления пароля","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","1603","Закрытие деталей ингредиента","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","2080","Переход в конструктор","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","1887","Переход в личный кабинет","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","4444","Поле пароля подсвечивается после клика на глазик","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","6295","Созданный заказ отображается в ленте заказов","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","3936","Переход в конструктор","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","6028","Залогиненный пользователь может оформить заказ","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","2452","Каунтер булки увеличивается после добавления в заказ","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","4184","Переход в личный кабинет","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","4496","Счётчик выполненных заказов за сегодня увеличивается","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","2030","Поле пароля подсвечивается после клика на глазик","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","4734","Закрытие деталей ингредиента","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","3856","Открытие деталей заказа в ленте","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","1816","Переход в историю заказов","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","4857","Каунтер булки увеличивается после добавления в заказ","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","1040","Открытие деталей ингредиента","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","3813","Номер заказа отображается в деталях заказа","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","3504","Созданный заказ отображается в ленте заказов","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","7279","Счётчик выполненных заказов за всё время увеличивается","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","4156","Счётчик выполненных заказов за всё время увеличивается","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","4737","Залогиненный пользователь может оформить заказ","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","5089","Выход из аккаунта","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","6419","Созданный заказ появляется в разделе «В работе»","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","1844","Открытие деталей заказа в ленте","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","1710","Номер заказа отображается в деталях заказа","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","4220","Открытие деталей ингредиента","tests","2026-08-25","passed","2026-08-25","TestConstructor","test_constructor","",""
"","6893","Созданный заказ отображается в истории заказов","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","3830","Переход на страницу восстановления пароля","tests","2026-08-25","passed","2026-08-25","TestPasswordRecovery","test_password_recovery","",""
"","1570","Выход из аккаунта","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
"","3307","Созданный заказ появляется в разделе «В работе»","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","7482","Счётчик выполненных заказов за сегодня увеличивается","tests","2026-08-25","passed","2026-08-25","TestOrderFeed","test_order_feed","",""
"","4765","Переход в историю заказов","tests","2026-08-25","passed","2026-08-25","TestAccount","test_account","",""
